iter	Passed	Remaining
576	40277	29527
577	40347	29457
578	40411	29383
579	40508	29333
580	40566	29255
581	40634	29184
582	40688	29103
583	40774	29045
584	40845	28975
585	40905	28899
586	40967	28823
587	41049	28762
588	41101	28680
589	41188	28622
590	41277	28566
591	41360	28505
592	41428	28434
593	41537	28390
594	41598	28314
595	41658	28238
596	41715	28160
597	41797	28098
598	41881	28037
599	41946	27964
600	42000	27883
601	42087	27825
602	42150	27751
603	42203	27669
604	42287	27609
605	42351	27535
606	42428	27470
607	42508	27406
608	42573	27333
609	42627	27253
610	42715	27195
611	42784	27124
612	42872	27066
613	42974	27016
614	43054	26953
615	43131	26887
616	43226	26832
617	43309	26770
618	43388	26706
619	43467	26641
620	43537	26571
621	43594	26493
622	43647	26412
623	43730	26350
624	43790	26274
625	43849	26197
626	43905	26119
627	44001	26064
628	44070	25994
629	44133	25919
630	44202	25849
631	44306	25798
632	44371	25725
633	44474	25674
634	44553	25609
635	44828	25656
636	44936	25607
637	45057	25565
638	45132	25497
639	45204	25427
640	45275	25356
641	45359	25294
642	45435	25226
643	45510	25157
644	45598	25097
645	45678	25031
646	45774	24974
647	45839	24900
648	45897	24822
649	45963	24749
650	46034	24678
651	46095	24603
652	46151	24524
653	46220	24453
654	46299	24386
655	46357	24309
656	46423	24236
657	46491	24164
658	46563	24094
659	46625	24019
660	46687	23943
661	46794	23891
662	46852	23814
663	46908	23736
664	46970	23661
665	47052	23596
666	47109	23519
667	47172	23444
668	47231	23368
669	47297	23295
670	47354	23218
671	47412	23141
672	47476	23068
673	47542	22995
674	47612	22924
675	47681	22853
676	47746	22780
677	47811	22706
678	47875	22633
679	47935	22557
680	47993	22481
681	48057	22408
682	48113	22330
683	48168	22253
684	48231	22179
685	48295	22106
686	48359	22032
687	48415	21955
688	48483	21884
689	48545	21810
690	48599	21732
691	48663	21659
692	48727	21586
693	48787	21511
694	48850	21437
695	48918	21366
696	48985	21294
697	49054	21224
698	49111	21148
699	49176	21075
700	49239	21002
701	49300	20927
702	49362	20854
703	49425	20781
704	49490	20708
705	49555	20636
706	49616	20562
707	49680	20489
708	49747	20418
709	49811	20345
710	49875	20272
711	49936	20199
712	50003	20127
713	50068	20055
714	50139	19985
715	50205	19913
716	50276	19843
717	50335	19769
718	50392	19694
719	50453	19620
720	50510	19545
721	50568	19471
722	50635	19399
723	50723	19336
724	50793	19266
725	50851	19191
726	50910	19117
727	50973	19045
728	51038	18973
729	51098	18899
730	51165	18828
731	51225	18754
732	51290	18682
733	51352	18609
734	51410	18535
735	51479	18465
736	51620	18420
737	51690	18350
738	51753	18278
739	51811	18204
740	51871	18130
741	51931	18056
742	51998	17985
743	52059	17912
744	52118	17839
745	52174	17764
746	52238	17692
